distrito,sector,uso_grupo,compatibilidad_desc,conteo
C10,C - Central,Industrial,Compatible,1
C10,C - Central,Industrial,Condicionada,1
C10,C - Central,Industrial,No permitida,31
C10,C - Central,Infraestructura,Compatible,4
C10,C - Central,Infraestructura,Condicionada,3
C10,C - Central,Infraestructura,No permitida,3
C11,C - Central,Agricola,No permitida,7
C11,C - Central,Comercio y servicios,Compatible,58
C11,C - Central,Comercio y servicios,Condicionada,16
C11,C - Central,Comercio y servicios,No permitida,20
C11,C - Central,Equipamiento,Compatible,53
C11,C - Central,Equipamiento,Condicionada,4
C11,C - Central,Equipamiento,No permitida,12
C11,C - Central,Habitacional,Compatible,10
C11,C - Central,Habitacional,No permitida,4
C11,C - Central,Industrial,Compatible,6
C11,C - Central,Industrial,Condicionada,14
C11,C - Central,Industrial,No permitida,13
C11,C - Central,Infraestructura,Compatible,4
C11,C - Central,Infraestructura,Condicionada,3
C11,C - Central,Infraestructura,No permitida,3
C12,C - Central,Agricola,No permitida,7
C12,C - Central,Comercio y servicios,Compatible,31
C12,C - Central,Comercio y servicios,Condicionada,9
C12,C - Central,Comercio y servicios,No permitida,54
C12,C - Central,Equipamiento,Compatible,24
C12,C - Central,Equipamiento,Condicionada,1
C12,C - Central,Equipamiento,No permitida,44
C12,C - Central,Habitacional,Compatible,10
C12,C - Central,Habitacional,No permitida,4
C12,C - Central,Industrial,Compatible,6
C12,C - Central,Industrial,Condicionada,9
C12,C - Central,Industrial,No permitida,18
C12,C - Central,Infraestructura,Compatible,4
C12,C - Central,Infraestructura,Condicionada,3
C12,C - Central,Infraestructura,No permitida,3
C13,C - Central,Agricola,No permitida,7
C13,C - Central,Comercio y servicios,Compatible,53
C13,C - Central,Comercio y servicios,Condicionada,23
C13,C - Central,Comercio y servicios,No permitida,18
C13,C - Central,Equipamiento,Compatible,50
C13,C - Central,Equipamiento,Condicionada,3
C13,C - Central,Equipamiento,No permitida,16
C13,C - Central,Habitacional,Compatible,10
C13,C - Central,Habitacional,No permitida,4
C13,C - Central,Industrial,Compatible,6
C13,C - Central,Industrial,Condicionada,13
C13,C - Central,Industrial,No permitida,14
C13,C - Central,Infraestructura,Compatible,4
C13,C - Central,Infraestructura,Condicionada,3
C13,C - Central,Infraestructura,No permitida,3
C14,C - Central,Agricola,No permitida,7
C14,C - Central,Comercio y servicios,Compatible,53
C14,C - Central,Comercio y servicios,Condicionada,17
C14,C - Central,Comercio y servicios,No permitida,24
C14,C - Central,Equipamiento,Compatible,25
C14,C - Central,Equipamiento,Condicionada,12
C14,C - Central,Equipamiento,No permitida,32
C14,C - Central,Habitacional,Compatible,10
C14,C - Central,Habitacional,No permitida,4
C14,C - Central,Industrial,Compatible,6
C14,C - Central,Industrial,Condicionada,3
C14,C - Central,Industrial,No permitida,24
C14,C - Central,Infraestructura,Compatible,4
C14,C - Central,Infraestructura,Condicionada,3
C14,C - Central,Infraestructura,No permitida,3
C15,C - Central,Agricola,No permitida,7
C15,C - Central,Comercio y servicios,Compatible,55
C15,C - Central,Comercio y servicios,Condicionada,17
C15,C - Central,Comercio y servicios,No permitida,22
C15,C - Central,Equipamiento,Compatible,25
C15,C - Central,Equipamiento,Condicionada,2
C15,C - Central,Equipamiento,No permitida,42
C15,C - Central,Habitacional,Compatible,6
C15,C - Central,Habitacional,Condicionada,4
C15,C - Central,Habitacional,No permitida,4
C15,C - Central,Industrial,Compatible,10
C15,C - Central,Industrial,Condicionada,10
C15,C - Central,Industrial,No permitida,13
C15,C - Central,Infraestructura,Compatible,4
C15,C - Central,Infraestructura,Condicionada,4
C15,C - Central,Infraestructura,No permitida,2
C16,C - Central,Agricola,No permitida,7
C16,C - Central,Comercio y servicios,Compatible,54
C16,C - Central,Comercio y servicios,Condicionada,20
C16,C - Central,Comercio y servicios,No permitida,20
C16,C - Central,Equipamiento,Compatible,50
C16,C - Central,Equipamiento,Condicionada,7
C16,C - Central,Equipamiento,No permitida,12
C16,C - Central,Habitacional,Compatible,10
C16,C - Central,Habitacional,No permitida,4
C16,C - Central,Industrial,Compatible,6
C16,C - Central,Industrial,Condicionada,13
C16,C - Central,Industrial,No permitida,14
C16,C - Central,Infraestructura,Compatible,4
C16,C - Central,Infraestructura,Condicionada,3
C16,C - Central,Infraestructura,No permitida,3
C17,C - Central,Agricola,No permitida,7
C17,C - Central,Comercio y servicios,Compatible,54
C17,C - Central,Comercio y servicios,Condicionada,20
C17,C - Central,Comercio y servicios,No permitida,20
C17,C - Central,Equipamiento,Compatible,50
C17,C - Central,Equipamiento,Condicionada,5
C17,C - Central,Equipamiento,No permitida,14
C17,C - Central,Habitacional,Compatible,10
C17,C - Central,Habitacional,No permitida,4
C17,C - Central,Industrial,Compatible,6
C17,C - Central,Industrial,Condicionada,13
C17,C - Central,Industrial,No permitida,14
C17,C - Central,Infraestructura,Compatible,4
C17,C - Central,Infraestructura,Condicionada,3
C17,C - Central,Infraestructura,No permitida,3
C18,C - Central,Agricola,No permitida,7
C18,C - Central,Comercio y servicios,Compatible,54
C18,C - Central,Comercio y servicios,Condicionada,15
C18,C - Central,Comercio y servicios,No permitida,25
C18,C - Central,Equipamiento,Compatible,48
C18,C - Central,Equipamiento,Condicionada,6
C18,C - Central,Equipamiento,No permitida,15
C18,C - Central,Habitacional,No permitida,14
C18,C - Central,Industrial,Compatible,1
C18,C - Central,Industrial,Condicionada,3
C18,C - Central,Industrial,No permitida,29
C18,C - Central,Infraestructura,Compatible,4
C18,C - Central,Infraestructura,Condicionada,3
C18,C - Central,Infraestructura,No permitida,3
C19,C - Central,Agricola,No permitida,7
C19,C - Central,Comercio y servicios,Compatible,53
C19,C - Central,Comercio y servicios,Condicionada,21
C19,C - Central,Comercio y servicios,No permitida,20
C19,C - Central,Equipamiento,Compatible,49
C19,C - Central,Equipamiento,Condicionada,6
C19,C - Central,Equipamiento,No permitida,14
C19,C - Central,Habitacional,Compatible,10
C19,C - Central,Habitacional,No permitida,4
C19,C - Central,Industrial,Compatible,6
C19,C - Central,Industrial,Condicionada,6
C19,C - Central,Industrial,No permitida,21
C19,C - Central,Infraestructura,Compatible,4
C19,C - Central,Infraestructura,Condicionada,3
C19,C - Central,Infraestructura,No permitida,3
C2,C - Central,Agricola,No permitida,7
C2,C - Central,Comercio y servicios,Compatible,57
C2,C - Central,Comercio y servicios,Condicionada,20
C2,C - Central,Comercio y servicios,No permitida,17
C2,C - Central,Equipamiento,Compatible,44
C2,C - Central,Equipamiento,Condicionada,7
C2,C - Central,Equipamiento,No permitida,18
C2,C - Central,Habitacional,Compatible,10
C2,C - Central,Habitacional,No permitida,4
C2,C - Central,Industrial,Compatible,6
C2,C - Central,Industrial,Condicionada,12
C2,C - Central,Industrial,No permitida,15
C2,C - Central,Infraestructura,Compatible,4
C2,C - Central,Infraestructura,Condicionada,3
C2,C - Central,Infraestructura,No permitida,3
C20,C - Central,Agricola,No permitida,7
C20,C - Central,Comercio y servicios,Compatible,53
C20,C - Central,Comercio y servicios,Condicionada,22
C20,C - Central,Comercio y servicios,No permitida,19
C20,C - Central,Equipamiento,Compatible,50
C20,C - Central,Equipamiento,Condicionada,4
C20,C - Central,Equipamiento,No permitida,15
C20,C - Central,Habitacional,Compatible,10
C20,C - Central,Habitacional,No permitida,4
C20,C - Central,Industrial,Compatible,6
C20,C - Central,Industrial,Condicionada,13
C20,C - Central,Industrial,No permitida,14
C20,C - Central,Infraestructura,Compatible,4
C20,C - Central,Infraestructura,Condicionada,3
C20,C - Central,Infraestructura,No permitida,3
C21,C - Central,Agricola,No permitida,7
C21,C - Central,Comercio y servicios,Compatible,54
C21,C - Central,Comercio y servicios,Condicionada,19
C21,C - Central,Comercio y servicios,No permitida,21
C21,C - Central,Equipamiento,Compatible,14
C21,C - Central,Equipamiento,Condicionada,5
C21,C - Central,Equipamiento,No permitida,50
C21,C - Central,Habitacional,No permitida,14
C21,C - Central,Industrial,Compatible,10
C21,C - Central,Industrial,Condicionada,10
C21,C - Central,Industrial,No permitida,13
C21,C - Central,Infraestructura,Compatible,4
C21,C - Central,Infraestructura,Condicionada,3
C21,C - Central,Infraestructura,No permitida,3
C22,C - Central,Agricola,No permitida,7
C22,C - Central,Comercio y servicios,Compatible,58
C22,C - Central,Comercio y servicios,Condicionada,18
C22,C - Central,Comercio y servicios,No permitida,18
C22,C - Central,Equipamiento,Compatible,51
C22,C - Central,Equipamiento,Condicionada,3
C22,C - Central,Equipamiento,No permitida,15
C22,C - Central,Habitacional,Compatible,10
C22,C - Central,Habitacional,No permitida,4
C22,C - Central,Industrial,Compatible,3
C22,C - Central,Industrial,Condicionada,10
C22,C - Central,Industrial,No permitida,20
C22,C - Central,Infraestructura,Compatible,4
C22,C - Central,Infraestructura,Condicionada,3
C22,C - Central,Infraestructura,No permitida,3
C23,C - Central,Agricola,No permitida,7
C23,C - Central,Comercio y servicios,Compatible,53
