anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2026,Z1,B,MXHA,MW,A,INGENIERO MARTHA WELCH LOYA,2025.0,MXHAMWA,MXHAMWA
2026,Z1,B,MXHA,NL,A,NACIONALISTA 1/2,1080.0,MXHANLA,MXHANLA
2026,Z1,B,MXHA,NL,B,NACIONALISTA 2/2,1215.0,MXHANLB,MXHANLB
2026,Z1,B,MXHA,OG,A,OSCAR GARZÓN GARATE,1215.0,MXHAOGA,MXHAOGA
2026,Z1,B,MXHA,OK,A,PALMAR DE ORIZABA,810.0,MXHAOKA,MXHAOKA
2026,Z1,B,MXHA,OQ,A,LAS MAGDALENAS,1620.0,MXHAOQA,MXHAOQA
2026,Z1,B,MXHA,OU,A,ORIZABA SUR,810.0,MXHAOUA,MXHAOUA
2026,Z1,B,MXHA,OZ,A,EJIDO ORIZABA,810.0,MXHAOZA,MXHAOZA
2026,Z1,B,MXHA,PO,A,LAS PALOMAS,1890.0,MXHAPOA,MXHAPOA
2026,Z1,B,MXHA,RV,A,REVOLUCIÓN,1620.0,MXHARVA,MXHARVA
2026,Z1,B,MXHA,SC,A,SANTA CLARA,1620.0,MXHASCA,MXHASCA
2026,Z1,B,MXHA,SL,A,SAN LUIS,1890.0,MXHASLA,MXHASLA
2026,Z1,B,MXHA,SZ,A,SINDICALISTA,810.0,MXHASZA,MXHASZA
2026,Z1,B,MXHA,UO,A,ORIZABA,1890.0,MXHAUOA,MXHAUOA
2026,Z1,B,MXHA,US,A,SOLIDARIDAD,1890.0,MXHAUSA,MXHAUSA
2026,Z1,B,MXHA,UU,A,CONJUNTO URBANO UNIVERSITARIO,2430.0,MXHAUUA,MXHAUUA
2026,Z1,B,MXHA,UZ,A,SOLIDARIDAD II,2160.0,MXHAUZA,MXHAUZA
2026,Z1,B,MXHA,VY,A,VIRREYES,810.0,MXHAVYA,MXHAVYA
2026,Z1,B,MXHA,WD,A,MISIÓN DE SAN DIEGO DE ALCALÁ,1620.0,MXHAWDA,MXHAWDA
2026,Z1,B,MXHA,WI,A,MISIÓN DE SAN IGNACIO,2025.0,MXHAWIA,MXHAWIA
2026,Z1,B,MXHA,WS,A,PUESTA DEL SOL RESIDENCIAL,1620.0,MXHAWSA,MXHAWSA
2026,Z1,B,MXHA,WW,A,VILLA DEL CAMPO,1620.0,MXHAWWA,MXHAWWA
2026,Z1,B,MXHA,WX,A,VILLAS DEL PARAÍSO,810.0,MXHAWXA,MXHAWXA
2026,Z1,B,MXHA,XB,A,RESIDENCIAL SANTA BÁRBARA,1890.0,MXHAXBA,MXHAXBA
2026,Z1,B,MXHA,XV,A,REAL VIRREYES,2160.0,MXHAXVA,MXHAXVA
2026,Z1,B,MXHA,XZ,A,RESIDENCIAL SAN MIGUEL,1620.0,MXHAXZA,MXHAXZA
2026,Z1,B,MXHA,YM,A,MAYOS,1080.0,MXHAYMA,MXHAYMA
2026,Z1,B,MXHA,YR,A,REAL DEL RÍO RESIDENCIAL,1620.0,MXHAYRA,MXHAYRA
2026,Z1,B,MXHA,ZE,A,ENCINAS (S.A.R.H.),810.0,MXHAZEA,MXHAZEA
2026,Z1,B,MXHA,ZH,A,SAN MARTÍN CABALLERO,1080.0,MXHAZHA,MXHAZHA
2026,Z1,B,MXHB,CV,A,CAMINO DE LOS VIRREYES,1620.0,MXHBCVA,MXHBCVA
2026,Z1,B,MXHA,OV,A,LOS OLIVOS,810.0,MXHAOVA,MXHAOVA
2026,Z1,B,MXHB,GX,A,VILLA GALICIA,810.0,MXHBGXA,MXHBGXA
2026,Z1,B,MPC0,55,A,C.C. SANTA BÁRBARA,2800.0,MPC055A,MPC055A
